1	-1.1270166537925830e-01	-8.8729833462074170e-01	-1.1270166537925831e-01	-8.8729833462074181e-01
2	-1.0102051443364402e-02	-9.8989794855663560e-01	-1.0102051443364382e-02	-9.8989794855663371e-01
3	-1.0010020050140178e-03	-9.9899899799498604e-01	-1.0010020050140423e-03	-9.9899899799501046e-01
4	-1.0001000200049459e-04	-9.9989998999799945e-01	-1.0001000200050016e-04	-9.9989998999805518e-01
5	-1.0000100002016676e-05	-9.9998999989999793e-01	-1.0000100002000053e-05	-9.9998999989833570e-01
6	-1.0000010000066339e-06	-9.9999899999899999e-01	-1.0000010000020005e-06	-9.9999899999436648e-01
7	-1.0000000999488279e-07	-9.9999989999998995e-01	-1.0000001000000204e-07	-9.9999990005118244e-01
8	-1.0000000105758744e-08	-9.9999998999999984e-01	-1.0000000100000009e-08	-9.9999998942412627e-01
9	-1.0000000272292198e-09	-9.9999999899999992e-01	-1.0000000010000006e-09	-9.9999997277078145e-01
10	-1.0000000827403710e-10	-9.9999999989999999e-01	-1.0000000001000006e-10	-9.9999991725963644e-01
