0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
1.0000000000000001e-01	9.9833416646828155e-02	9.9833416646825407e-02	2.7478019859472624e-15
2.0000000000000001e-01	1.9866933079506122e-01	1.9866933079365082e-01	1.4103995749081832e-12
3.0000000000000004e-01	2.9552020666133960e-01	2.9552020666138396e-01	4.4353409833775004e-14
4.0000000000000002e-01	3.8941834230865052e-01	3.8941834230970018e-01	1.0496603586318543e-12
5.0000000000000000e-01	4.7942553860420301e-01	4.7942553861641590e-01	1.2212897360086572e-11
5.9999999999999998e-01	5.6464247339503537e-01	5.6464247339482598e-01	2.0938806244430452e-13
6.9999999999999996e-01	6.4421768723769102e-01	6.4421768723613870e-01	1.5523138330308939e-12
7.9999999999999993e-01	7.1735609089952268e-01	7.1735609089072094e-01	8.8017371169257785e-12
8.9999999999999991e-01	7.8332690962748330e-01	7.8332690958682050e-01	4.0662806455316058e-11
9.9999999999999989e-01	8.4147098480789639e-01	8.4147098480865834e-01	7.6194606180024493e-13
1.0999999999999999e+00	8.9120736006143531e-01	8.9120736006461543e-01	3.1801228317362984e-12
1.2000000000000000e+00	9.3203908596722629e-01	9.3203908597894625e-01	1.1719958337153003e-11
1.3000000000000000e+00	9.6355818541719296e-01	9.6355818545609362e-01	3.8900660470631010e-11
1.4000000000000001e+00	9.8544972998846025e-01	9.8544972998760794e-01	8.5231821600473268e-13
1.5000000000000002e+00	9.9749498660405445e-01	9.9749498660130265e-01	2.7517987888359130e-12
1.6000000000000003e+00	9.9957360304150511e-01	9.9957360303326892e-01	8.2361895081817238e-12
1.7000000000000004e+00	9.9166481045246857e-01	9.9166481042940635e-01	2.3062218801328527e-11
1.8000000000000005e+00	9.7384763087819504e-01	9.7384763081731673e-01	6.0878302399203221e-11
1.9000000000000006e+00	9.4630008768741425e-01	9.4630008768902674e-01	1.6124879209655774e-12
2.0000000000000004e+00	9.0929742682568149e-01	9.0929742682995085e-01	4.2693626411960395e-12
2.1000000000000005e+00	8.6320936664887349e-01	8.6320936665965142e-01	1.0777934100758557e-11
2.2000000000000006e+00	8.0849640381958987e-01	8.0849640384564836e-01	2.6058488700186899e-11
2.3000000000000007e+00	7.4570521217671970e-01	7.4570521223729369e-01	6.0573990268153466e-11
2.4000000000000008e+00	6.7546318055115029e-01	6.7546318068697830e-01	1.3582801550171553e-10
2.5000000000000009e+00	5.9847214410395577e-01	5.9847214409955984e-01	4.3959280660033073e-12
2.6000000000000010e+00	5.1550137182146338e-01	5.1550137181145617e-01	1.0007217277063774e-11
2.7000000000000011e+00	4.2737988023382895e-01	4.2737988021174544e-01	2.2083501693970220e-11
2.8000000000000012e+00	3.3498815015590383e-01	3.3498815010855792e-01	4.7345904974349651e-11
2.9000000000000012e+00	2.3924932921398112e-01	2.3924932911516283e-01	9.8818286886626083e-11
3.0000000000000013e+00	1.4112000805986591e-01	1.4112000785871368e-01	2.0115223375860580e-10
3.1000000000000014e+00	4.1580662433289159e-02	4.1580662440908280e-02	7.6191206122011579e-12
3.2000000000000015e+00	-5.8374143427581418e-02	-5.8374143411782910e-02	1.5798508334885497e-11
3.3000000000000016e+00	-1.5774569414324996e-01	-1.5774569411122427e-01	3.2025687657366575e-11
3.4000000000000017e+00	-2.5554110202683294e-01	-2.5554110196326923e-01	6.3563709851166550e-11
3.5000000000000018e+00	-3.5078322768962150e-01	-3.5078322756595071e-01	1.2367079582631391e-10
3.6000000000000019e+00	-4.4252044329485407e-01	-4.4252044305872318e-01	2.3613089261687037e-10
3.7000000000000020e+00	-5.2983614090849485e-01	-5.2983614091863385e-01	1.0139000750086780e-11
3.8000000000000020e+00	-6.1185789094272069e-01	-6.1185789096244692e-01	1.9726220656934856e-11
3.9000000000000021e+00	-6.8776615918397532e-01	-6.8776615922170059e-01	3.7725267354460357e-11
4.0000000000000018e+00	-7.5680249530792942e-01	-7.5680249537889421e-01	7.0964789600225231e-11
4.1000000000000014e+00	-8.1827711106441137e-01	-8.1827711119582569e-01	1.3141432386731822e-10
4.2000000000000011e+00	-8.7157577241358863e-01	-8.7157577265334585e-01	2.3975721408220352e-10
4.3000000000000007e+00	-9.1616593674945523e-01	-9.1616593673805757e-01	1.1397660593104320e-11
4.4000000000000004e+00	-9.5160207388951601e-01	-9.5160207386833306e-01	2.1182944287545524e-11
4.5000000000000000e+00	-9.7753011766509701e-01	-9.7753011762628073e-01	3.8816283520759498e-11
4.5999999999999996e+00	-9.9369100363346441e-01	-9.9369100356327544e-01	7.0188965750617172e-11
4.6999999999999993e+00	-9.9992325756410083e-01	-9.9992325743879884e-01	1.2530199100524442e-10
4.7999999999999989e+00	-9.9616460883584079e-01	-9.9616460861486988e-01	2.2097090823791632e-10
4.8999999999999986e+00	-9.8245261262433281e-01	-9.8245261263576078e-01	1.1427969681676586e-11
4.9999999999999982e+00	-9.5892427466313901e-01	-9.5892427468365038e-01	2.0511370379949767e-11
5.0999999999999979e+00	-9.2581468232773312e-01	-9.2581468236412146e-01	3.6388336788206743e-11
5.1999999999999975e+00	-8.8345465572015447e-01	-8.8345465578398874e-01	6.3834271202267701e-11
5.2999999999999972e+00	-8.3226744222390270e-01	-8.3226744233469185e-01	1.1078915562734437e-10
5.3999999999999968e+00	-7.7276448755598937e-01	-7.7276448774628392e-01	1.9029455788910354e-10
5.4999999999999964e+00	-7.0554032557039448e-01	-7.0554032589400939e-01	3.2361491264509823e-10
5.5999999999999961e+00	-6.3126663787232429e-01	-6.3126663785387382e-01	1.8450463379338089e-11
